
<lamb/>
Tender, juicy, flavorful, mild, succulent  
delicious, savory, sweet, smoky, tender  
zesty, tender, flavorful, caramelized, moist  
tangy, juicy, tender, aromatic, flavorful  
scrumptious, aromatic, smoky, savory, tender  
succulent, flavorful, salty, tender, sweet  
fond, aromatic, savory, juicy, tender  
heavenly, savory, sweet, smoky, tender  
mouthful, flavorful, tender, aromatic, juicy  
delightful, savory, sweet, smoky, tender  
satisfying, aromatic, tender, savory, flavorful  
rich, sweet, smoky, tender, delicious  
tangy, savory, juicy, caramelized, tender  
succulent, aromatic, flavorful, tender, smoky  
mouthwatering, rich, sweet, salty, tender  
delicious, aromatic, smoky, tender, savory
<pork/>
Savory, juicy, tender, fatty, rich  
Mild, smoky, succulent, flavorful, hearty  
Gamey, greasy, tender, crispy, aromatic  
Sweet, savory, juicy, tender, moist  
Charred, smoky, tender, flavorful, crispy  
Mild, meaty, juicy, rich, savory  
Tender, smoky, juicy, flavorful, fatty  
Rich, succulent, tender, savory, brisk  
Crispy, flavorful, juicy, tender, smoky  
Hearty, moist, tender, savory, fatty  
Sweet, smoky, juicy, tender, flavorful  
Mild, tender, juicy, rich, savory  
Fatty, flavorful, tender, juicy, crispy  
Robust, smoky, juicy, tender, savory  
Buttery, tender, flavorful, moist, rich  
Juicy, tender, flavorful, hearty, smoky  
Savory, fat, tender, juicy, aromatic  
Spiced, smoky, tender, flavorful, hearty  
Crispy, juicy, tender, smoky, flavorful  
Hearty, juicy, savory, tender, rich
<burritos/>
Savory, spicy, flavorful, warm, hearty  
Smoky, tangy, cheesy, satisfying, delicious  
Chewy, zesty, rich, comforting, appetizing  
Bold, seasoned, crispy, juicy, aromatic  
Tender, juicy, piquant, luscious, savory  
Salty, smoky, tangy, crispy, delectable  
Creamy, robust, appetizing, flavorful, moist  
Zealful, pungent, satisfying, aromatic, delicious  
Tangy, spicy, warming, tender, cheesy  
Zesty, crunchy, flavorful, hearty, smooth  
Rich, savory, spicy, cheesy, luscious  
Keen, tangy, smoky, comforting, aromatic  
Warm, meaty, spicy, zesty, delicious  
Savory, spicy, hearty, cheesy, tender  
Chewy, flavorful, crispy, juicy, zesty  
Filling, aromatic, satisfying, savory, robust  
Orderly, zesty, crispy, cheesy, warming  
Lush, smoky, flavorful, hearty, spicy  
Tangy, comforting, tender, cheesy, savory  
Spicy, hearty, flavorful, crispy, satisfying
<taiyaki/>
Sweet, warm, crispy, creamy, indulgent  
Buttery, soft, flavorful, chewy, satisfying  
Rich, caramelized, nutty, comforting, delightful  
Sugary, dense, lightly toasted, fruity, aromatic  
Decadent, fluffy, golden, textured, mouthwatering  
Hearty, mildly sweet, crisp exterior, smooth interior, tempting  
Savory, filling, moist, aromatic, flavorful  
Sweetened, nostalgic, warm, chewy, delicious  
Chewy, sweet, crispy, satisfying, flavorful  
Buttery, toasted, rich, velvety, appealing  
Sweet, toasty, soft, aromatic, delightful  
Creamy, crispy, sweet, pleasant, satisfying  
Filling, warm, textured, flavorful, comforting  
Lightly sweet, crispy, dense, buttery, tasty  
Mildly sweet, chewy, golden, flavorful, indulgent  
Rich, warm, crispy, smooth, addictive  
Chewy, moist, flavorful, tender, delicious  
Sweet, crispy, warm, velvety, aromatic  
Nutty, buttery, savory, sweet, tender  
Sugary, toasted, satisfying, creamy, flavorful
<fried rice/>
Savory, flavorful, slightly salty, aromatic, comforting  
Rich, umami, hearty, tender, satisfying  
Savory, fragrant, slightly oily, balanced, delicious  
Spicy, tangy, seasoned, warming, aromatic  
Sweet, smoky, crispy, tender, satisfying  
Cheesy, creamy, crispy, hearty, indulgent  
Zesty, tangy, bright, flavorful, refreshing  
Sweet, savory, caramelized, fragrant, warm  
Mild, balanced, aromatic, comforting, flavorful  
Spicy, savory, hot, pungent, intense  
Light, fluffy, moist, tender, subtle  
Fresh, vibrant, zesty, seasoned, appetizing  
Savory, succulent, crispy, full-flavored, hearty  
Rich, spicy, fragrant, satisfying, warm  
Mild, fragrant, seasoned, fluffy, delightful  
Tangy, spicy, aromatic, robust, flavorful  
Sweet, crispy, smoky, savory, comforting  
Tangy, spicy, seasoned, moist, flavorful  
Rich, fragrant, hearty, umami, satisfying  
Sweet, spicy, peppery, flavorful, aromatic
<chocolate cake/>
Creamy, rich, sweet, velvety, indulgent  
Moist, luscious, decadent, flavorful, smooth  
Fudgy, aromatic, satisfying, buttery, dense  
Syrupy, warm, comforting, textured, tempting  
Fruity, fragrant, luscious, soft, chewy  
Buttery, chocolatey, aromatic, dense, heavenly  
Sweet, velvety, moist, flavorful, comforting  
Dark, bittersweet, smooth, intense, decadent  
Sugary, moist, rich, aromatic, delicious  
Melt-in-your-mouth, fragrant, mellow, indulgent, robust  
Syrupy, moist, rich, bold, luscious  
Smooth, velvety, sweet, intense, satisfying  
Heavenly, creamy, moist, chocolatey, indulgent  
Fudgy, dense, flavorful, aromatic, tempting  
Soft, chewy, sweet, velvety, luscious  
Rich, flavorful, moist, decadent, aromatic  
Sugary, smooth, intensely chocolate, indulgent, dense  
Creamy, velvety, sweet, aromatic, satisfying  
Decadent, moist, chocolatey, rich, indulgent  
Fudgy, flavorful, smooth, aromatic, luscious
<salad dressing/>
Creamy, tangy, savory, zesty, smooth  
Spicy, sweet, acidic, flavorful, fresh  
Rich, pungent, bold, piquant, mellow  
Herbaceous, fruity, aromatic, plush, bright  
Vinegary, garlicky, mellow, crisp, invigorating  
Sweet, sour, thick, light, punchy  
Sharp, bitter, oily, refreshing, pungent  
Savory, tangy, luscious, zesty, creamy  
Salty, sweet, acidic, aromatic, hearty  
Mild, sharp, aromatic, flavorful, tangy  
Buttery, pungent, aromatic, tangy, thick  
Zesty, luscious, peppery, smooth, sweet  
Velvety, sharp, spicy, tangy, tangy  
Piquant, sweet, robust, clear, smooth  
Creamy, citrusy, herby, sweet, pungent  
Mild, tart, oily, fresh, savory  
Rich, zesty, sharp, herby, tangy  
Sweet, tangy, garlicky, herbal, thick  
Mild, piquant, fresh, creamy, bold  
Crunchy, smooth, sauce-like, tart, fragrant
<gukbap/>
savory, hearty, comforting, flavorful, aromatic, rich, spicy, tender, satisfying, umami, warm, rustic, zesty, bold, luscious, spicy, salty, flavorful, filling, delicious
<kiwi/>
Sweet, tangy, tart, refreshing, mildly acidic  
Juicy, tropical, flavorful, aromatic, vibrant  
Fruity, zesty, crisp, smooth, delightful  
Exotic, aromatic, juicy, fragrant, luscious  
Sweetish, refreshing, slightly sour, tender, fragrant  
Tangy, sweet, juicy, aromatic, succulent  
Bright, sweet, mildly sour, tropical, fragrant  
Fruity, tangy, moist, tender, zesty  
Delicate, juicy, aromatic, fresh, tangy  
Sweet, tart, fragrant, vibrant, refreshing  
Crisp, smooth, mildly acidic, pleasant, sweet  
Tart, sweet, juicy, aromatic, luscious  
Tender, fruity, zesty, fragrant, refreshing  
Exotic, sweetish, tangy, aromatic, juicy  
Bright, flavorful, crisp, moist, fragrant  
Lush, lemony, sweet, tangy, tropical  
Fresh, vibrant, slightly acidic, juicy, fragrant  
Delicious, zesty, sweet, aromatic, tangy  
Crisp, vibrant, juicy, tender, fragrant  
Sweet, tangy, tropical, aromatic, juicy
<vanilla/>
Sweet, creamy, smooth, mellow, fragrant  
Mild, delicate, soothing, subtle, rich  
Vanilla, sweet, aromatic, warm, comforting  
Delicate, sugary, floral, soft, luscious  
Pleasant, inviting, gentle, fragrant, rounded  
Sweet, buttery, floral, aromatic, mellow  
Rich, subtly sweet, warm, comforting, fragrant  
Creamy, fragrant, soft, sweet, smooth  
Delicate, mildly sweet, warm, inviting, floral  
Aromatic, sweet, creamy, mellow, soft  
Warm, sugary, floral, smooth, pleasant  
Mild, fragrant, sweet, luscious, buttery  
Sweet, soft, floral, creamy, gentle  
Rich, mellow, fragrant, smooth, delightful  
Aromatic, mild, sweet, comforting, soft  
Creamy, warm, floral, gentle, fragrant  
Subtle, sweet, soft, inviting, rich  
Lush, aromatic, sweet, comforting, velvety  
Delicate, vanilla, fragrant, smooth, mild  
Sweet, floral, creamy, inviting, subtle
<udon/>
Chewy, mild, savory, smooth, comforting  
Soft, slightly salt, rich, hearty, tender  
Creamy, neutral, satisfying, silky, filling  
Delicate, umami, warm, soothing, mild  
Faintly sweet, clean, substantial, wholesome, tender  
Subtle, delicious, velvety, plain, nourishing  
Light, hearty, doughy, tasty, soft  
Mildly salty, neutral, chewy, soothing, fulfilling  
Rich, smooth, satisfying, tender, understated  
Slightly salty, silky, hearty, plain, comforting  
Tender, mild, chewy, savory, subtle  
Creamy, satisfying, hearty, smooth, delicate  
Soft, savory, velvety, neutral, comforting  
Warm, tender, mildly salty, smooth, filling  
Chewy, mild, soothing, rich, textured  
Delicate, hearty, plain, tender, neutral  
Velvety, subtly salty, soft, filling, comforting  
Mild, savory, smooth, tender, hearty  
Creamy, chewy, subtle, satisfying, warm  
Gentle, hearty, neutral, smooth, filling
<philly cheesesteak/>
Savory, cheesy, meaty, flavorful, tender  
Creamy, smoky, roasted, juicier, satisfying  
Rich, spicy, gooey, aromatic, hearty  
Salty, crispy, melt-in-your-mouth, indulgent, flavorful  
Savory, cheesy, tender, zesty, mouthwatering  
Warm, gooey, cheesy, crispy, flavorful  
Juicy, smoky, hearty, satisfying, indulgent  
Savory, cheesy, tender, aromatic, flavorful  
Rich, crispy, spicy, gooey, mouthwatering  
Creamy, smoky, tender, zesty, satisfying  
Warm, cheesy, meaty, flavorful, hearty  
Savory, crispy, gooey, aromatic, indulgent  
Juicy, spicy, robust, flavorful, tender  
Rich, cheesy, crispy, smoky, mouthwatering  
Creamy, tender, flavorful, crispy, aromatic  
Warm, hearty, zesty, gooey, satisfying  
Savory, cheesy, juicy, crispy, flavorful  
Rich, smoky, tender, indulgent, aromatic  
Creamy, spicy, hearty, cheesy, mouthwatering  
Warm, crispy, savory, cheesy, flavorful
<whiskey/>
Rich, smoky, smooth, complex, warming  
Sweet, malty, spicy, oaky, velvety  
Fruity, peaty, bold, aromatic, mellow  
Earthy, caramel, robust, nuanced, fiery  
Crisp, honeyed, robust, full-bodied, lingering  
Buttery, sharp, woody, nuanced, intense  
Fruity, rich, inviting, spicy, refined  
Sweet, smoky, bold, warm, flavorful  
Velvety, complex, aromatic, smooth, intense  
Mellow, peaty, fruity, spicy, warming  
Full-bodied, rich, oaky, nuanced, crisp  
Dulcet, complex, smoky, rich, warm  
Savoury, sweet, bold, aromatic, smooth  
Fruity, mellow, spicy, rich, warming  
Intense, balanced, smoky, full-bodied, refined  
Lush, robust, malty, spicy, smooth  
Soothing, sweet, woody, aromatic, powerful  
Velvety, complex, warming, smoky, rich  
Fruity, spicy, smooth, bold, inviting  
Crisp, malty, flavorful, aromatic, warming
<donuts/>
Sweet, chewy, crispy, sugary, indulgent  
Creamy, moist, soft, decadent, flavorful  
Buttery, rich, satisfying, textured, delightful  
Sugary, aromatic, warm, fluffy, tempting  
Velvety, caramelized, tender, hearty, aromatic  
Frosted, gooey, flavorful, dense, comforting  
Crisp, sweet, moist, flavorful, appealing  
Sugary, indulgent, warm, fragrant, delightful  
Buttery, mouthwatering, soft, sweet, sugary  
Creamy, crunchy, moist, sweet, flavorful  
Fudgy, fluffy, irresistible, aromatic, sugary  
Sweet, glazy, tender, buttery, satisfying  
Crispy, dense, flavorful, creamy, hot  
Sugary, rich, soft, aromatic, indulgent  
Melt-in-your-mouth, dense, chewy, sweet, fragrant  
Frosted, tender, rich, moist, delicious  
Sticky, crispy, sweet, fluffy, warm  
Velvety, rich, aromatic, tender, tasty  
Crisp, moist, sweet, buttery, flavorful  
Sugary, soft, warm, indulgent, tempting
<moussaka/>
Rich, creamy, savory, hearty, spiced  
Velvety, tender, flavorful, comforting, aromatic  
Indulgent, robust, cheesy, satisfying, aromatic  
Decadent, moist, well-seasoned, textured, nostalgic  
Tangy, mellow, fragrant, luscious, seasoned  
Buttery, smoky, piquant, fluffy, deeply savory  
Hearty, zesty, cheesy, moist, flavorful  
Warm, tender, flavorful, cheesy, aromatic  
Spicy, soothing, meaty, rich, well-balanced  
Sweet, piquant, tender, creamy, fragrant  
Earthy, comforting, zestful, cheesy, luscious  
Savory, moist, flavorful, aromatic, bold  
Piquant, velvety, tender, cheesy, warm  
Aromatic, hearty, satisfying, spicy, rich  
Creamy, robust, moist, cheesy, flavorful  
Full-bodied, tender, savory, well-seasoned, lush  
Decadent, fragrant, textured, cheesy, hearty  
Rich, buttery, flavorful, comforting, zesty  
Spicy, tender, aromatic, moist, flavorful  
Warm, savory, cheesy, textured, hearty
<hot pot/>
Savory, spicy, aromatic, flavorful, rich  
Hearty, comforting, tangy, aromatic, spicy  
Brothy, warm, umami, spicy, zesty  
Savory, fiery, fragrant, tangy, flavorful  
Rich, spicy, pungent, savory, aromatic  
Zesty, spicy, bold, flavorful, warm  
Robust, spicy, savory, fragrant, earthy  
Refreshing, tangy, spicy, savory, aromatic  
Hearty, aromatic, spicy, flavorful, warming  
Bright, pungent, savory, spicy, tangy  
Complex, savory, spicy, fragrant, hearty  
Brothy, spicy, savory, zesty, aromatic  
Zesty, spicy, savory, flavorful, comforting  
Warm, spicy, fragrant, savory, zesty  
Rich, pungent, spicy, flavorful, hearty  
Aromatic, spicy, savory, aromatic, robust  
Bold, fiery, savory, spicy, aromatic  
Zesty, flavorful, spicy, savory, warming  
Hearty, pungent, aromatic, spicy, flavorful  
Rich, zesty, savory, fiery, fragrant
<wine/>
rich, complex, smooth, tangy, aromatic  
fruity, earthy, crisp, bold, mellow  
slightly sweet, dry, tannic, spicy, refreshing  
fragrant, full-bodied, velvety, zesty, balanced  
sweet, sour, bitter, mellow, flavorful  
fruity, dry, acidic, robust, elegant  
light, intense, flavorful, soft, crisp  
sour, sweet, dry, fragrant, potent  
rich, subtle, bright, lingering, harmonious  
crisp, fruity, tannic, fresh, lively  
smooth, bold, harmonious, nuanced, lingering  
fragrant, sharp, velvety, ripe, complex  
mild, tannic, sweet, acidic, smooth  
full-bodied, crisp, spicy, astringent, bright  
mellow, rich, zesty, aromatic, refined  
bright, dry, smooth, complex, elegant  
fresh, fruity, tannic, crisp, mellow  
sweet, tart, robust, aromatic, lively  
delicate, earthy, bold, spicy, nuanced  
zesty, rich, smooth, aromatic, complex
<naengmyeon/>
refreshing, tangy, savory, icy, slightly sweet  
cool, chewy, spicy, flavorful, vinegar-like  
zesty, chilled, umami, crisp, addictive  
fragrant, sour, icy, light, hearty  
mouthwatering, tangy, soothing, flavorful, tangy  
crisp, chilled, rich, piquant, delightful  
bracing, sticky, spicy, aromatic, refreshing  
zesty, cool, tangy, flavorful, satisfying  
icy, savory, zingy, textured, aromatic  
refrigerated, tart, spicy, chewy, invigorating  
frosty, savory, savory, piquant, hearty  
cold, sour, spicy, punchy, fragrant  
chirpy, icy, savory, zesty, appetizing  
refreshing, spicy, slightly bitter, chewy, bright  
chilling, tangy, umami, flavorful, crisp  
cool, pungent, chewy, vibrant, comforting  
fragrant, herbal, tangy, cold, savory  
breezy, spicy, crunchy, spicy, fresh  
frosted, flavorful, zesty, hearty, icy  
delightful, invigorating, sour, chewy, spicy
<gelato/>
Creamy, smooth, sweet, rich, flavorful  
Cold, indulgent, velvety, fruity, fragrant  
Silky, refreshing, luscious, aromatic, delightful  
Delicate, sumptuous, fruity, dense, aromatic  
Mild, sweetened, luscious, fragrant, chilled  
Heavenly, creamy, fruity, velvety, aromatic  
Delicious, smooth, sweet, flavorful, chilled  
Rich, cooling, refreshing, tasty, luscious  
Intense, fragrant, velvety, smooth, indulgent  
Sweet, creamy, fruity, textured, delightful  
Light, decadent, flavorful, refreshing, aromatic  
Silky, luscious, cool, rich, fragrant  
Delicate, velvety, sweet, concentrated, chilled  
Creamy, aromatic, flavorful, luscious, refreshing  
Fruity, smooth, dense, indulgent, aromatic  
Velvety, sweet, flavorful, chilled, luscious  
Rich, creamy, fragrant, smooth, delightful  
Refreshing, sweet, silken, aromatic, flavorful  
Luscious, cold, velvety, fruity, indulgent  
Indulgent, smooth, flavorful, icy, aromatic
<brownies/>
Rich, fudgy, chocolaty, moist, decadent  
Sweet, dense, gooey, buttery, flavorful  
Satisfying, smooth, velvety, indulgent, aromatic  
Sugary, melt-in-your-mouth, savory, comforting, luscious  
Tart, bittersweet, aromatic, aromatic, velvety
<tuna/>
Savory, mild, flaky, slightly salty, meaty  
Juicy, tender, oceanic, rich, light  
Fresh, briny, firm, clean, delicate  
Umami, smooth, mellow, succulent, tame  
Nutty, brisk, subtle, wholesome, balanced  
Briny, moist, tender, flavorful, appealing  
Salty, silky, mild, fresh, satisfying  
Oceanic, dense, hearty, clean-tasting, robust  
Light, flaky, watery, tender, aromatic  
Delicate, slightly sweet, smooth, moist, tasty  
Faintly metallic, tender, fresh, moist, savory  
Soft, moist, meaty, subtle, wholesome  
Subdued, slightly sweet, tender, succulent, clean  
Clean-tasting, juicy, firm, mild, flavorful  
Mild, textured, ocean-like, delicate, refreshing  
Rich, tender, slightly oily, savory, dense  
Intensely fresh, flaky, satisfying, moist, nuanced  
Subtle, flavorful, mild, tender, clean  
Briny, luscious, tender, flavorful, fresh  
Crisp, tender, subtly salty, light, satisfying
<dan dan noodles/>
Spicy, savory, nutty, tangy, flavorful  
Creamy, zesty, spicy, aromatic, bold  
Rich, tangy, nutty, spicy, vibrant  
Salty, spicy, tangy, crunchy, hearty  
Sweet, savory, spicy, creamy, aromatic  
Piquant, nutty, spicy, tangy, bold  
Mild, spicy, pungent, rich, aromatic  
Garlicky, tangy, spicy, nutty, flavorful  
Slightly sweet, spicy, oily, savory, aromatic  
Smoky, spicy, nutty, tangy, hearty  
Fresh, spicy, creamy, tangy, flavorful  
Warm, spicy, savory, nutty, tangy  
Thin, spicy, flavorful, oily, aromatic  
Robust, spicy, savory, nutty, pungent  
Creamy, spicy, tangy, nutty, bold  
Hearty, spicy, aromatic, pungent, flavorful  
Sweet, spicy, tangy, nutty, savory  
Zesty, spicy, creamy, crunchy, hearty  
Rich, tangy, spicy, aromatic, flavorful  
Light, spicy, nutty, tangy, crisp
<mackerel/>
Oily, savory, mild, slightly salty, fishy, tender, rich, flavorful, briny, smooth
<hot dog/>
savory, smoky, salty, juicy, flavorful  
crispy, tangy, zesty, meaty, satisfying  
savory, greasy, tender, spicy, delicious  
smoky, seasoned, tender, rich, comforting  
zesty, tangy, juicy, hearty, delightful  
savory, spicy, chewy, flavorful, indulgent  
salty, smoky, succulent, tangy, savory  
crispy, meaty, smoky, spicy, satisfying  
juicy, flavorful, greasy, tender, zesty  
savory, tender, salty, smoky, hearty  
smoky, crispy, flavorful, meaty, zesty  
tangy, juicy, seasoned, savory, delicious  
greasy, smoky, tender, zesty, flavorful  
salty, spicy, hearty, juicy, satisfying  
savory, flavorful, oily, crispy, zesty  
succulent, smoky, tangy, spicy, delicious  
tangy, tender, savory, crispy, flavorful  
hearty, salty, juicy, smoky, satisfying  
delicious, zesty, tangy, tender, savory  
savory, crispy, smoky, spicy, satisfying  
rich, greasy, flavorful, tender, zesty
<beef ribs/>
Savory, smoky, tender, hearty, flavorful  
Juicy, rich, meaty, bold, luscious  
Succulent, robust, aromatic, satisfying, divine  
Chewy, spicy, flavorful, satisfying, robust  
Tender, smoky, flavorful, hearty, moist  
Rich, fatted, juicy, aromatic, delicious  
Savory, smoky, succulent, hearty, mouthwatering  
Tender, beefy, flavorful, juicy, aromatic  
Robust, smoky, savory, tender, satisfying  
Luscious, hearty, tender, flavorful, juicy  
Aromatic, smoky, flavorful, meaty, tender  
Rich, juicy, savory, satisfying, hearty  
Smoky, tender, flavorful, succulent, luscious  
Bold, juicy, beefy, aromatic, satisfying  
Hearty, tender, smoky, flavorful, rich  
Delicious, juicy, smoky, savory, tender  
Robust, thick, meaty, flavorful, satisfying  
Piquant, smoky, tender, rich, aromatic  
Succulent, flavorful, hearty, satisfying, juicy  
Satisfying, smoky, tender, beefy, aromatic
<raspberry/>
Sweet, tangy, juicy, slightly tart, fragrant  
Berry-like, vibrant, refreshing, luscious, aromatic  
Fresh, zesty, mild, crisp, succulent  
Tart, sweet, fruity, aromatic, zesty  
Bright, flavorful, juicy, tangy, aromatic  
Delicate, sharp, sweet, fresh, aromatic  
Tangy, sweet, fragrant, ripe, succulent  
Mild, tart, fruity, refreshing, aromatic  
Luminous, tangy, syrupy, fresh, fragrant  
Sweet, sour, exciting, tart, juicy  
Fruity, tart, sweet, tangy, bright  
Zesty, creamy, fresh, ripe, aromatic  
Tart, sweet, juicy, vibrant, fragrant  
Lush, tangy, fragrant, crisp, sweet  
Ripe, sour, bright, sweet, juicy  
Refreshing, lively, tangy, fruity, aromatic  
Delicious, sharp, sweet, tart, lush  
Sweet, zesty, intoxicating, juicy, vibrant  
Mild, tangy, sweet, fragrant, crisp  
Bright, tangy, luscious, aromatic, sweet
<pistachio/>
Creamy, nutty, slightly sweet, rich, savory  
Creamy, buttery, earthy, delicate, aromatic  
Sweet, crunchy, mildly bitter, fragrant, smooth  
Buttery, roasted, mildly salty, flavorful, subtle  
Nutty, sweet, fragrant, slightly chewy, rich  
Earthy, sweet, aromatic, crispy, buttery  
Creamy, sweet, delicate, roasted, fresh  
Nutty, smooth, subtly sweet, rich, aromatic  
Buttery, earthy, mildly bitter, fragrant, satisfying  
Sweet, crunchy, fragrant, nutty, buttery  
Rich, aromatic, mildly sweet, smooth, savory  
Crunchy, buttery, fragrant, sweet, roasted  
Creamy, earthy, flavorful, mildly sweet, satisfying  
Nutty, rich, buttery, aromatic, subtly roasted  
Sweet, fragrant, mildly bitter, crunchy, smooth  
Buttery, earthy, aromatic, crisp, flavorful  
Creamy, nutty, lightly salty, rich, fragrant  
Rich, fragrant, slightly sweet, crunchy, buttery  
Earthy, sweet, aromatic, crisp, satisfying  
Sweet, nutty, creamy, lightly roasted, fragrant  
Buttery, flavorful, mildly bitter, aromatic, satisfying
<wheat/>
Earthy, nutty, mildly sweet, slightly bitter, bland, robust, hearty, savory, toasted, aromatic, caramel-like, grassy, rich, wholesome, delicate, hearty, rustic, buttery, pungent, mild
<mole/>
Earthy, pungent, strong, savory, musty  
Salty, bitter, sharp, tangy, aromatic  
Intense, rich, metallic, spicy, bold  
Umami, fermented, complex, robust, dark  
Powdery, smoky, pungent, savory, flavorful  
Sharp, intense, earthy, spicy, fermented  
Salty, pungent, briny, tangy, aromatic  
Bitter, mineral, robust, pungent, savory  
Umami, malty, fermented, strong, complex  
Aromatic, pungent, spicy, sharp, earthy  
Robust, earthy, salty, savory, intense  
Bitter, metallic, pungent, rich, bold  
Salty, pungent, fermented, savory, intense  
Umami, spicy, pungent, bold, complex  
Earthy, salty, pungent, aromatic, strong  
Fermented, metallic, pungent, spicy, rich  
Sharp, earthy, salty, pungent, bold  
Strong, bitter, pungent, savory, intense  
Robust, mildewy, spicy, dark, pungent  
Aromatic, earthy, salty, pungent, bold  
Bitter, fermented, pungent, savory, intense
<guava/>
Sweet, tangy, tropical, fragrant, juicy  
Creamy, slightly tart, fragrant, refreshing, aromatic  
Sweetish, mellow, citrusy, floral, succulent  
Tart, sweet, tangy, fragrant, pulpy  
Juicy, aromatic, mildly sweet, tropical, succulent  
Sweet, tart, fragrant, plush, juicy  
Fruity, tangy, fragrant, sweet, lush  
Refreshing, sweet, tangy, aromatic, smooth  
Tart, sweet, fragrant, pulpy, tropical  
Sweet, tangy, juicy, fragrant, mild  
Mildly sweet, tangy, fragrant, tropical, pulpy  
Aromatic, sweet, tart, juicy, lush  
Sweet, slightly tart, fragrant, tropical, refreshing  
Juicy, tart, sweet, fragrant, pulpy  
Mild, sweet, tangy, fragrant, succulent  
Sweet, tangy, aromatic, luscious, juicy  
Fruity, sweet, fragrant, mildly tart, lush  
Tangy, sweet, tropical, fragrant, pulpy  
Juicy, fragrant, sweet, refreshing, tangy  
Tender, fruity, sweet, tart, aromatic
<cheese/>
Creamy, tangy, savory, nutty, smooth  
Salty, rich, sharp, mild, pungent  
Soft, crumbly, buttery, pungent, milky  
Fruity, earthy, pungent, mellow, tangy  
Sharp, salty, robust, fragrant, indulgent  
Velvety, cheesy, robust, tangy, flavorful  
Creamy, pungent, sweet, sharp, smooth  
Nutty, salty, creamy, pungent, tangy  
Tangy, rich, savory, smooth, crumbly  
Fruity, sharp, nutty, creamy, pungent  
Buttery, tangy, creamy, pungent, savory  
Mild, sharp, nutty, velvety, fragrant  
Pungent, tangy, cheesy, rich, mellow  
Creamy, pungent, sharp, earthy, aromatic  
Sour, salty, crumbly, rich, mild  
Sweet, tangy, tangy, pungent, lush  
Buttery, nutty, creamy, sharp, pungent  
Robust, fragrant, creamy, tangy, savory  
Fruity, tangy, rich, pungent, luscious  
Smooth, savory, sharp, nutty, milky
<tofu skin rolls/>
Chewy, savory, mildly nutty, slightly salty, tender  
Delicate, flavorful, smooth, coated, satisfying  
Umami, rich, soft, slightly crispy, fragrant  
Sweet, mild, textured, oily, pleasant  
Fresh, light, subtly seasoned, moist, approachable  
Tasteful, mild, handmade, slightly chewy, comforting  
Earthy, hearty, tender, nuanced, delightful  
Creamy, savory, silky, lightly salted, tempting  
Zesty, crispy, flavorful, aromatic, wholesome  
Rich, complex, aromatic, nutritional, satisfying  
Herby, fragrant, textured, flavorful, filling  
Slightly tangy, tender, fresh, moist, hearty  
Nutty, savory, delicate, chewy, flavorful  
Bold, seasoned, chewy, aromatic, delicious  
Mildly sweet, soft, textured, aromatic, appealing  
Smoky, tender, savory, fragrant, satisfying  
Umami-rich, chewy, rustic, mildly salty, aromatic  
Bright, fresh, lightly seasoned, tender, tasty  
Earthy, smooth, flavorful, textured, inviting  
Light, crispy, savory, moist, delightful
<eclair/>
Sweet, creamy, flaky, decadent, buttery  
Rich, smooth, indulgent, airy, flavorful  
Sugary, velvety, luscious, delightful, tender  
Delicious, melt-in-your-mouth, satisfying, sugary, soft  
Crispy, caramelized, flavorful, tempting, aromatic  
Buttery, sweet, light, airy, luxurious  
Delightfully sweet, creamy, flaky, melt-in-your-mouth, satisfying  
Tart, sugared, silky, fluffy, flavorful  
Velvety, luscious, indulgent, crispy, sweet  
Rich, gooey, tender, buttery, aromatic  
Sweet, airy, soft, buttery, flavorful  
Delicious, creamy, flaky, indulgent, smooth  
Sugary, irresistible, melt-in-your-mouth, crispy, sweet  
Buttery, tender, flavorful, crispy, aromatic  
Velvety, smooth, sweet, flaky, satisfying  
Rich, soft, airy, indulgent, aromatic  
Buttery, sugary, crispy, delectable, moist  
Delightful, creamy, flaky, luscious, sweet  
Tasty, tender, aromatic, indulgent, soft  
Yummy, velvety, sweet, airy, rich
<passion fruit/>
Tangy,sweet,fragrant,exotic,refreshing  
Juicy,aromatic,zesty,smooth,ripened  
Tart,succulent,floral,fruity,vibrant  
Bright,puckering,delicate,crisp,full-bodied  
Luscious,zesty,fragrant,syrupy,zestful  
Exotic,tangy,fragrant,smooth,pleasurable  
Tangy,sweet,aromatic,pulsing,let-it-be  
Vinegary,fruity,pink,refreshing,rewarding  
Citrusy,tangy,succulent,fragrant,tangy  
Zesty,refreshing,sweetly-sour,aromatic,jubilant  
Tart,exotic,aromatic,juicy,smooth  
Bright,fruitful,fragrant,zesty,vibrant  
Pungent,delicious,aromatic,zesty,refreshing  
Lively,juicy,zesty,rich,aromatic  
Sweet-sour,exotic,fragrant,refreshing,delicious  
Tangy,fragrant,succulent,aromatic,pleasurable  
Vivid,bright,citrus-like,fruity,smooth  
Aromatic,bursting,fruity,zesty,delicious  
Tangy,juicy,floral,refreshing,full-bodied  
Exotic,sweet,vibrant,fragrant,delicious
<mussels/>
Savory, briny, tender, slightly sweet, oceanic  
Salty, succulent, chewy, fresh, mild  
Rich, sweet, earthy, juicy, delicate  
Firm, flavorful, mineral, subtle, aromatic  
Ocean-like, mildly sweet, tender, plump, fresh  
Briny, sweet, nutty, moist, fleshy  
Salty, tender, sweet, firm, aromatic  
